tahun,bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
2015,01,15,36,10-150,2,221,6095,13073,0,0,0,0,3255,59,0
2015,02,38,133,10-200,7,615,64458,231566,5,0,0,0,41202,337,0
2015,03,12,15,10-200,4,30,2869,8119,0,0,0,0,822,5,0
2015,04,4,6,20-100,3,18,2235,7905,0,0,0,0,0,0,0
2015,05,1,1,20-100,1,7,423,2088,0,0,0,0,0,0,0
2015,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,11,7,11,20-300,4,36,3858,13195,0,0,0,0,534,8,0
2015,12,12,15,10-60,4,28,1698,6192,0,0,0,0,0,0,0
2016,01,8,13,10-80,2,26,1020,3853,0,0,0,0,0,0,0
2016,02,25,70,5-200,2,231,20593,70218,0,0,0,0,1137,45,0
2016,03,14,32,5-300,2,93,16145,51234,0,0,0,0,2192,27,0
2016,04,18,44,5-360,2,134,7833,27607,0,0,0,0,2945,40,0
2016,05,10,14,5-200,1,26,1496,6271,0,0,0,0,0,0,0
2016,06,11,24,5-90,2,49,1424,6025,0,0,0,0,2,0,0
2016,07,15,26,10-190,2,59,3060,8068,0,0,0,0,183,6,0
2016,08,13,26,10-120,2,82,11671,31921,2,0,0,0,198,4,0
2016,09,16,31,5-170,2,72,5041,15331,0,0,0,0,751,9,0
2016,10,11,20,10-100,2,53,1160,3840,0,0,0,0,0,0,0
2016,11,15,29,5-150,2,80,2148,8209,0,0,0,0,352,3,0
2017,01,4,5,10-70,2,7,n.a,n.a,0,0,0,0,0,0,n.a
2017,02,31,67,10-250,5,216,6967,19325,6,0,0,0,5858,45,n.a
2017,03,20,40,0-160,3,95,3232,10166,0,0,0,0,1870,27,n.a
2017,04,19,33,10-200,1,78,621,2131,0,0,0,0,753,40,n.a
2017,05,15,25,5-120,2,48,1056,3420,0,0,0,0,20,0,n.a
2017,06,4,5,10-110,1,17,1409,4547,0,0,0,0,0,0,n.a
2017,07,6,8,10-80,1,22,251,705,0,0,0,0,0,6,n.a
2017,08,5,6,10-80,1,13,n.a,n.a,0,0,0,0,0,4,n.a
2017,09,1,1,10-80,1,2,n.a,n.a,0,0,0,0,0,9,n.a
2017,10,8,11,10-105,3,25,15,n.a,0,0,0,0,0,0,n.a
2017,11,17,37,10-150,2,86,1935,6505,0,0,0,0,564,3,n.a
2017,12,19,26,10-70,2,51,131,404,0,0,0,0,35,0,n.a
2018,01,5,8,5-40,2,25,0,0,0,0,0,0,0,0,n.a
2018,02,24,43,5-300,6,162,5467,19456,1,0,1,0,15558,60,n.a
2018,03,6,8,10-100,1,21,303,1000,0,0,0,0,0,0,n.a
2018,04,6,8,5-90,1,19,300,988,0,0,0,0,0,0,n.a
2018,05,8,17,10-150,1,47,214,716,0,0,0,0,69,2,n.a
2018,06,5,8,10-100,1,18,328,1068,0,0,0,0,0,0,n.a
2018,07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2018,08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2018,09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2018,10,4,5,10-80,1,13,387,1001,0,0,0,0,0,0,n.a
2018,11,11,16,5-100,1,28,1848,7597,0,0,0,0,0,0,n.a
2018,12,14,22,3-100,1,38,244,877,0,0,0,0,0,0,n.a
2019,01,14,31,10-70,2,58,135,453,0,0,0,0,0,0,n.a
2019,02,15,25,10-135,1,43,398,1186,0,0,0,0,0,0,n.a
2019,03,23,43,10-100,2,119,315,1010,0,0,0,0,85,2,n.a
2019,04,17,34,10-250,1,94,2915,8851,2,0,0,0,3600,23,n.a
2019,05,5,7,10-100,1,15,150,355,0,0,0,0,0,0,n.a
2019,06,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2019,07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2019,08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2019,09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2019,10,5,7,10-100,1,16,391,1203,0,0,0,0,0,0,n.a
2019,11,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
2019,12,11,20,15-100,1,41,316,1601,0,0,0,0,0,0,n.a
2020,01,35,151,10-350,4,390,22148,83406,19,0,0,0,36445,269,n.a
2020,02,42,167,5-200,2,581,12551,43464,6,0,0,0,13808,119,n.a
2020,03,24,46,5-160,2,104,3057,9687,0,0,0,0,453,14,n.a
2020,04,21,50,10-130,2,106,1059,2966,0,0,0,0,75,2,n.a
2020,05,12,23,10-200,2,47,891,3117,0,0,0,0,213,6,n.a
2020,06,9,16,5-120,1,46,80,320,0,0,0,0,320,7,n.a
2020,07,2,2,20-50,1,4,0,0,0,0,0,0,0,0,n.a
2020,08,10,12,10-80,1,20,0,0,0,0,0,0,0,0,n.a
2020,09,16,28,10-130,2,65,414,1300,0,0,0,0,104,5,n.a
2020,10,29,72,10-180,2,170,1933,6250,0,0,0,0,675,12,n.a
2020,11,16,27,10-60,2,54,0,0,0,0,0,0,0,0,n.a
2020,12,7,9,10-80,1,18,250,827,0,0,0,0,0,0,n.a